weighted portfolio variance,weighted portfolio returns
0.025221,0.151384
0.024367,0.205429
0.030444,0.235672
0.021815,0.211138
0.033945,0.136793
0.018581,0.182465
0.045910,0.232876
0.024374,0.205520
0.034847,0.145596
0.030561,0.164922
0.017834,0.190437
0.018696,0.190003
0.026762,0.231022
0.048196,0.230057
0.047381,0.230185
0.029550,0.238513
0.026768,0.233463
0.048786,0.230276
0.044805,0.228228
0.029049,0.173538
0.018953,0.199891
0.047033,0.225632
0.046342,0.228228
0.024579,0.145747
0.034446,0.225924
0.020264,0.199900
0.019491,0.204784
0.038281,0.218751
0.045130,0.226975
0.030754,0.146772
0.020165,0.211817
0.021416,0.165333
0.026398,0.212443
0.023555,0.163843
0.020343,0.205591
0.025230,0.214557
0.031696,0.211662
0.029177,0.214692
0.023527,0.168778
0.029820,0.200747
0.020360,0.162331
0.020084,0.209522
0.028020,0.193743
0.045807,0.226422
0.028026,0.217399
0.037608,0.214957
0.029247,0.206299
0.027037,0.175003
0.035864,0.176226
0.018446,0.166495
0.043166,0.223401
0.041336,0.225190
0.023578,0.195170
0.024606,0.197589
0.033422,0.242328
0.025126,0.208461
0.035403,0.218587
0.023958,0.209529
0.022388,0.204530
0.040031,0.219066
0.020006,0.194643
0.020536,0.168182
0.034963,0.215696
0.029928,0.217284
0.038894,0.142189
0.027863,0.217996
0.033950,0.199693
0.027070,0.151359
0.030882,0.206893
0.024798,0.199771
0.019625,0.178535
0.042464,0.128260
0.029883,0.175692
0.018922,0.174467
0.028259,0.192463
0.031250,0.195225
0.027843,0.158844
0.024104,0.211098
0.039317,0.220840
0.030705,0.206120
0.031669,0.197815
0.032270,0.198992
0.030954,0.164837
0.037662,0.224216
0.032761,0.242220
0.033022,0.212206
0.020325,0.167898
0.032372,0.152297
0.024998,0.163891
0.024574,0.188798
0.044926,0.227721
0.019165,0.170525
0.025737,0.195121
0.024644,0.224509
0.024172,0.197578
0.019601,0.187117
0.048473,0.228269
0.020437,0.213436
0.017693,0.195662
0.029203,0.204573
0.047950,0.230324
0.032131,0.196211
