weighted portfolio variance,weighted portfolio returns
0.021264,0.281000
0.021298,0.281250
0.021331,0.281500
0.021365,0.281750
0.021399,0.282000
0.021432,0.282250
0.021466,0.282500
0.021500,0.282750
0.021533,0.283000
0.021567,0.283250
0.021601,0.283500
0.021635,0.283750
0.021669,0.284000
0.021703,0.284250
0.021737,0.284500
0.021771,0.284750
0.021806,0.285000
0.021840,0.285250
0.021874,0.285500
0.021909,0.285750
0.021943,0.286000
0.021977,0.286250
0.022012,0.286500
0.022046,0.286750
0.022081,0.287000
0.022116,0.287250
0.022150,0.287500
0.022185,0.287750
0.022220,0.288000
0.022255,0.288250
0.022289,0.288500
0.022324,0.288750
0.022359,0.289000
0.022394,0.289250
0.022429,0.289500
0.022465,0.289750
0.022500,0.290000
0.022535,0.290250
0.022570,0.290500
0.022606,0.290750
0.022641,0.291000
0.022676,0.291250
0.022712,0.291500
0.022747,0.291750
0.022783,0.292000
0.022818,0.292250
0.022854,0.292500
0.022890,0.292750
0.022926,0.293000
0.022961,0.293250
0.022997,0.293500
0.023033,0.293750
0.023069,0.294000
0.023105,0.294250
0.023141,0.294500
0.023177,0.294750
0.023213,0.295000
0.023249,0.295250
0.023286,0.295500
0.023322,0.295750
0.023358,0.296000
0.023395,0.296250
0.023431,0.296500
0.023468,0.296750
0.023504,0.297000
0.023541,0.297250
0.023577,0.297500
0.023614,0.297750
0.023651,0.298000
0.023688,0.298250
0.023724,0.298500
0.023761,0.298750
0.023798,0.299000
0.023835,0.299250
0.023872,0.299500
0.023909,0.299750
0.023946,0.300000
0.023983,0.300250
0.024021,0.300500
0.024058,0.300750
0.024095,0.301000
0.024133,0.301250
0.024170,0.301500
0.024207,0.301750
0.024245,0.302000
0.024282,0.302250
0.024320,0.302500
0.024358,0.302750
0.024395,0.303000
0.024433,0.303250
0.024471,0.303500
0.024509,0.303750
0.024547,0.304000
0.024585,0.304250
0.024623,0.304500
0.024661,0.304750
0.024699,0.305000
0.024737,0.305250
0.024775,0.305500
0.024813,0.305750
0.024852,0.306000
0.024890,0.306250
0.024928,0.306500
0.024967,0.306750
0.025005,0.307000
0.025044,0.307250
0.025082,0.307500
0.025121,0.307750
0.025160,0.308000
0.025198,0.308250
0.025237,0.308500
0.025276,0.308750
0.025315,0.309000
0.025354,0.309250
0.025393,0.309500
0.025432,0.309750
0.025471,0.310000
0.025510,0.310250
0.025549,0.310500
0.025588,0.310750
0.025627,0.311000
0.025667,0.311250
0.025706,0.311500
0.025745,0.311750
0.025785,0.312000
0.025824,0.312250
0.025864,0.312500
0.025903,0.312750
0.025943,0.313000
0.025983,0.313250
0.026022,0.313500
0.026062,0.313750
0.026102,0.314000
0.026142,0.314250
0.026182,0.314500
0.026222,0.314750
0.026262,0.315000
0.026302,0.315250
0.026342,0.315500
0.026382,0.315750
0.026423,0.316000
0.026463,0.316250
0.026503,0.316500
0.026543,0.316750
0.026584,0.317000
0.026624,0.317250
0.026665,0.317500
0.026705,0.317750
0.026746,0.318000
0.026787,0.318250
0.026827,0.318500
0.026868,0.318750
0.026909,0.319000
0.026950,0.319250
0.026991,0.319500
0.027032,0.319750
0.027073,0.320000
0.027114,0.320250
0.027155,0.320500
0.027196,0.320750
0.027237,0.321000
0.027278,0.321250
0.027320,0.321500
0.027361,0.321750
0.027402,0.322000
0.027444,0.322250
0.027485,0.322500
0.027527,0.322750
0.027568,0.323000
0.027610,0.323250
0.027652,0.323500
0.027693,0.323750
0.027735,0.324000
0.027777,0.324250
0.027819,0.324500
0.027861,0.324750
0.027903,0.325000
0.027945,0.325250
0.027987,0.325500
0.028029,0.325750
0.028071,0.326000
0.028113,0.326250
0.028156,0.326500
0.028198,0.326750
0.028240,0.327000
0.028283,0.327250
0.028325,0.327500
0.028368,0.327750
0.028410,0.328000
0.028453,0.328250
0.028496,0.328500
0.028538,0.328750
0.028581,0.329000
0.028624,0.329250
0.028667,0.329500
0.028710,0.329750
0.028753,0.330000
0.028795,0.330250
0.028839,0.330500
0.028882,0.330750
0.028925,0.331000
0.028968,0.331250
0.029011,0.331500
0.029054,0.331750
0.029098,0.332000
0.029141,0.332250
0.029185,0.332500
0.029228,0.332750
0.029272,0.333000
0.029315,0.333250
0.029359,0.333500
0.029402,0.333750
0.029446,0.334000
0.029490,0.334250
0.029534,0.334500
0.029578,0.334750
0.029622,0.335000
0.029666,0.335250
0.029710,0.335500
0.029754,0.335750
0.029798,0.336000
0.029842,0.336250
0.029886,0.336500
0.029930,0.336750
0.029975,0.337000
0.030019,0.337250
0.030063,0.337500
0.030108,0.337750
0.030152,0.338000
0.030197,0.338250
0.030242,0.338500
0.030286,0.338750
0.030331,0.339000
0.030376,0.339250
0.030420,0.339500
0.030465,0.339750
0.030510,0.340000
0.030555,0.340250
0.030600,0.340500
0.030645,0.340750
0.030690,0.341000
0.030735,0.341250
0.030780,0.341500
0.030826,0.341750
0.030871,0.342000
0.030916,0.342250
0.030962,0.342500
0.031007,0.342750
0.031053,0.343000
0.031098,0.343250
0.031144,0.343500
0.031189,0.343750
0.031235,0.344000
0.031281,0.344250
0.031326,0.344500
0.031372,0.344750
0.031418,0.345000
0.031464,0.345250
0.031510,0.345500
0.031556,0.345750
0.031602,0.346000
0.031648,0.346250
0.031694,0.346500
0.031740,0.346750
0.031787,0.347000
0.031833,0.347250
0.031879,0.347500
0.031926,0.347750
0.031972,0.348000
0.032019,0.348250
0.032065,0.348500
0.032112,0.348750
0.032158,0.349000
0.032205,0.349250
0.032252,0.349500
0.032299,0.349750
0.032345,0.350000
0.032392,0.350250
0.032439,0.350500
0.032486,0.350750
0.032533,0.351000
0.032580,0.351250
0.032627,0.351500
0.032675,0.351750
0.032722,0.352000
0.032769,0.352250
0.032816,0.352500
0.032864,0.352750
0.032911,0.353000
0.032959,0.353250
0.033006,0.353500
0.033054,0.353750
0.033101,0.354000
0.033149,0.354250
0.033197,0.354500
0.033245,0.354750
0.033292,0.355000
0.033340,0.355250
0.033388,0.355500
0.033436,0.355750
0.033484,0.356000
0.033532,0.356250
0.033580,0.356500
0.033628,0.356750
0.033676,0.357000
0.033725,0.357250
0.033773,0.357500
0.033821,0.357750
